"","INSTNM","LATITUDE","LONGITUDE","ADM_RATE","AANAPII","HSI","WOMENONLY","RELAFFIL"
"200","ITT Technical Institute-Rancho Cordova",38.5917,-121.2815,0.3845,FALSE,FALSE,FALSE,0
"206","American Academy of Dramatic Arts-Los Angeles",34.0953,-118.3441,0.1479,FALSE,FALSE,FALSE,0
"215","Art Center College of Design",34.1708,-118.1869,0.8167,FALSE,FALSE,FALSE,0
"218","Azusa Pacific University",34.1309,-117.888,0.7985,FALSE,FALSE,FALSE,88
"222","Bethesda University of California",33.8423,-117.9413,0.8321,FALSE,FALSE,FALSE,99
"223","Biola University",33.9048,-118.0173,0.7286,FALSE,FALSE,FALSE,88
"224","Brooks Institute",34.4186,-119.696,0.98,FALSE,FALSE,FALSE,0
"231","California Baptist University",33.9286,-117.4259,0.788,FALSE,FALSE,FALSE,75
"232","California College of the Arts",37.8357,-122.2514,0.8157,FALSE,FALSE,FALSE,0
"234","California Institute of Technology",34.1393,-118.1257,0.1055,FALSE,FALSE,FALSE,0
"235","California Lutheran University",34.2256,-118.8795,0.4802,FALSE,FALSE,FALSE,39
"236","California Polytechnic State University-San Luis Obispo",35.2989,-120.6586,0.3123,FALSE,FALSE,FALSE,0
"237","Alliant International University",32.8971,-117.0944,0.4922,FALSE,FALSE,FALSE,0
"238","California State University-Bakersfield",35.35,-119.1047,0.6626,FALSE,TRUE,FALSE,0
"239","California State University-Stanislaus",37.5258,-120.8525,0.7215,FALSE,TRUE,FALSE,0
"240","California State University-San Bernardino",34.183,-117.3225,0.5831,FALSE,FALSE,FALSE,0
"241","California State Polytechnic University-Pomona",34.0543,-117.819,0.5218,FALSE,FALSE,FALSE,0
"242","California State University-Chico",39.728,-121.8463,0.7161,FALSE,FALSE,FALSE,0
"243","California State University-Dominguez Hills",33.8652,-118.2593,0.5747,FALSE,TRUE,FALSE,0
"244","California State University-Fresno",36.8145,-119.7483,0.5815,FALSE,TRUE,FALSE,0
"245","California State University-Fullerton",33.8836,-117.8853,0.4579,FALSE,FALSE,FALSE,0
"246","California State University-East Bay",37.6571,-122.0581,0.6872,TRUE,FALSE,FALSE,0
"247","California State University-Long Beach",33.7828,-118.1123,0.3082,FALSE,FALSE,FALSE,0
"248","California State University-Los Angeles",34.0669,-118.169,0.6752,FALSE,FALSE,FALSE,0
"249","California State University-Northridge",34.2367,-118.5268,0.4624,FALSE,TRUE,FALSE,0
"250","California State University-Sacramento",38.5575,-121.4219,0.6968,TRUE,FALSE,FALSE,0
"251","University of California-Berkeley",37.8715,-122.2604,0.18,FALSE,FALSE,FALSE,0
"252","University of California-Davis",38.5399,-121.752,0.4521,FALSE,FALSE,FALSE,0
"253","University of California-Irvine",33.667,-117.7686,0.4239,FALSE,FALSE,FALSE,0
"254","University of California-Los Angeles",34.0689,-118.4439,0.2199,FALSE,FALSE,FALSE,0
"255","University of California-Riverside",33.9759,-117.3311,0.62,FALSE,FALSE,FALSE,0
"256","University of California-San Diego",32.8766,-117.2378,0.375,FALSE,FALSE,FALSE,0
"258","University of California-Santa Barbara",34.4155,-119.8481,0.4444,FALSE,FALSE,FALSE,0
"259","University of California-Santa Cruz",36.9973,-122.068,0.5991,FALSE,FALSE,FALSE,0
"262","California Christian College",36.7676,-119.7328,0.8333,FALSE,FALSE,FALSE,41
"266","California Institute of the Arts",34.3933,-118.5673,0.2992,FALSE,FALSE,FALSE,0
"267","California Maritime Academy",38.0691,-122.2316,0.748,FALSE,FALSE,FALSE,0
"272","Casa Loma College-Van Nuys",34.1954,-118.4483,1,FALSE,FALSE,FALSE,0
"284","Chapman University",33.7937,-117.8515,0.4471,FALSE,FALSE,FALSE,61
"285","Charles R Drew University of Medicine and Science",33.9257,-118.2428,0.8889,FALSE,FALSE,FALSE,0
"286","Concordia University-Irvine",33.6535,-117.8106,0.9119,FALSE,FALSE,FALSE,68
