"","INSTNM","LATITUDE","LONGITUDE","ADM_RATE","AANAPII","HSI","WOMENONLY","RELAFFIL"
"199","Academy of Art University",37.7877,-122.4007,NA,FALSE,FALSE,FALSE,"NULL"
"200","ITT Technical Institute-Rancho Cordova",38.5917,-121.2815,38.45,FALSE,FALSE,FALSE,"NULL"
"201","Academy of Chinese Culture and Health Sciences",37.8067,-122.2727,NA,FALSE,FALSE,FALSE,"NULL"
"202","The Academy of Radio and TV Broadcasting",33.7289,-117.9877,NA,FALSE,FALSE,FALSE,"NULL"
"203","Avalon School of Cosmetology-Alameda",37.7642,-122.2436,NA,FALSE,FALSE,FALSE,"NULL"
"204","College of Alameda",37.7824,-122.2793,NA,FALSE,FALSE,FALSE,"NULL"
"205","Allan Hancock College",34.943,-120.4215,NA,FALSE,TRUE,FALSE,"NULL"
"206","American Academy of Dramatic Arts-Los Angeles",34.0953,-118.3441,14.79,FALSE,FALSE,FALSE,"NULL"
"207","American Baptist Seminary of the West",37.8653,-122.2561,NA,FALSE,FALSE,FALSE,"52"
"208","American Film Institute Conservatory",34.1085,-118.31,NA,FALSE,FALSE,FALSE,"NULL"
"209","American Beauty College",33.8844,-118.125,NA,FALSE,FALSE,FALSE,"NULL"
"210","American Career College-Los Angeles",34.0792,-118.2923,NA,FALSE,FALSE,FALSE,"NULL"
"211","American Conservatory Theater",37.7873,-122.4049,NA,FALSE,FALSE,FALSE,"NULL"
"212","American River College",38.6497,-121.346,NA,FALSE,FALSE,FALSE,"NULL"
"213","Everest College-Hayward",37.6754,-122.0848,NA,FALSE,FALSE,FALSE,"NULL"
"214","Antelope Valley College",34.6762,-118.1862,NA,FALSE,TRUE,FALSE,"NULL"
"215","Art Center College of Design",34.1708,-118.1869,81.67,FALSE,FALSE,FALSE,"NULL"
"216","Associated Technical College-Los Angeles",34.056,-118.2724,NA,FALSE,FALSE,FALSE,"NULL"
"217","Associated Technical College-San Diego",32.7157,-117.1582,NA,FALSE,FALSE,FALSE,"NULL"
"218","Azusa Pacific University",34.1309,-117.888,79.85,FALSE,FALSE,FALSE,"88"
"219","Bakersfield College",35.4108,-118.9735,NA,FALSE,FALSE,FALSE,"NULL"
"220","Barstow Community College",34.8715,-117.0252,NA,FALSE,FALSE,FALSE,"NULL"
"221","Bellus Academy-National City",32.6768,-117.0902,NA,FALSE,FALSE,FALSE,"NULL"
"222","Bethesda University of California",33.8423,-117.9413,83.21,FALSE,FALSE,FALSE,"99"
"223","Biola University",33.9048,-118.0173,72.86,FALSE,FALSE,FALSE,"88"
"224","Brooks Institute",34.4186,-119.696,98,FALSE,FALSE,FALSE,"NULL"
"225","Brownson Technical School",33.819,-117.9064,NA,FALSE,FALSE,FALSE,"NULL"
"226","Bryan University",34.0614,-118.3029,NA,FALSE,FALSE,FALSE,"NULL"
"227","Butte College",39.6491,-121.6447,NA,FALSE,FALSE,FALSE,"NULL"
"228","Phillips Graduate Institute",34.2427,-118.5677,NA,FALSE,FALSE,FALSE,"NULL"
"229","California Institute of Integral Studies",37.7748,-122.4165,NA,FALSE,FALSE,FALSE,"NULL"
"230","Cabrillo College",36.9891,-121.9279,NA,FALSE,FALSE,FALSE,"NULL"
"231","California Baptist University",33.9286,-117.4259,78.8,FALSE,FALSE,FALSE,"75"
"232","California College of the Arts",37.8357,-122.2514,81.57,FALSE,FALSE,FALSE,"NULL"
